title,authors_name,auths_institution,auths_per_institution,abstract,location,pub_date,citation_nbres,download_nbres,dio
Achieving Secure and Efficient P2P Data Trading based on Blockchain for Internet of Things,"Ningyu An,Xiao Liang,Xiaokun Zheng,Shuai Yuan,Xiaodong Wang,Zhitao Guan","Global Energy Interconnection Research Institute Co. Ltd, Beijing,Global Energy Interconnection Research Institute Co. Ltd, Beijing,Global Energy Interconnection Research Institute Co. Ltd, Beijing,Brock University, St. Catharines, ON,North China Electric Power University, Beijing,North China Electric Power University, Beijing","(Ningyu An) FROM (Global Energy Interconnection Research Institute Co. Ltd, Beijing),(Xiao Liang) FROM (Global Energy Interconnection Research Institute Co. Ltd, Beijing),(Xiaokun Zheng) FROM (Global Energy Interconnection Research Institute Co. Ltd, Beijing),(Shuai Yuan) FROM (Brock University, St. Catharines, ON),(Xiaodong Wang) FROM (North China Electric Power University, Beijing),(Zhitao Guan) FROM (North China Electric Power University, Beijing)","The intelligence of the information era is accomplished through data sharing, which enables us to perform more insightful analysis and make better decisions. However, traditional data trading systems are typically centralized managed with high operating costs and associated risk of single point of failure. Furthermore, it is going to be increasingly more common to see malicious data and behavior during the transactions. This paper proposes a P2P data trading scheme based on blockchain for Internet of Things (IoT). The proposed scheme provides an efficient negotiated pricing model in the data trading process. Chameleon hashing algorithm has been adopted to advance the robustness of the trading scheme by detecting malicious data on the chain and implementing error correction and loss control. Additionally, information entropy is incorporated as data privacy measurement. The security analysis and experimental results show that the proposed data trading scheme is secure and efficient.",China,30 May 2022,0,65,https://doi.org/10.1145/3494106.3528686
A Variable Bulk Arrival and Static Bulk Service Queueing Model for Blockchain,"Jongho Seol,Abhilash Kancharla,Zuqiang Ke,Hyeyoung Kim,Nohpill Park","Oklahoma State University, Stillwater, OK,Oklahoma State University, Stillwater, OK,Oklahoma State University, Stillwater, OK,Hongik University, Seoul,Oklahoma State University, Stillwater, OK","(Jongho Seol) FROM (Oklahoma State University, Stillwater, OK),(Abhilash Kancharla) FROM (Oklahoma State University, Stillwater, OK),(Zuqiang Ke) FROM (Oklahoma State University, Stillwater, OK),(Hyeyoung Kim) FROM (Hongik University, Seoul),(Nohpill Park) FROM (Oklahoma State University, Stillwater, OK)","This paper proposes a novel embedded Markovian queueing model of the M(1,n)/Mn/1 type in order to establish a theoretical foundation to design a blockchain-based system with specific interest in Ethereum. The model assumes variable bulk arrivals of transactions in Poisson distribution, i.e., M(1,n), where n the number of slots across all the mined transactions and static bulk service of transactions in exponential time, i.e., Mn, for posting in the current block, namely, VBASBP. The primary performance measurements to be taken are the average number of slots no matter how many transactions are mined under the assumption of the maximum number of slots per block as specified by n; the average waiting time per slot; and the throughput in terms of the average number of slots to be processed per time. The variable bulk arrival rate is assumed to vary linearly proportional to the size of the transactions in a multiple of per slot, and the static bulk service is assumed to take place when the number of slots in the mined transactions reaches at n, i.e., a bulk processing of multiple transactions in multiple slots for posting in a block. Numerical simulations are conducted on Matlab to demonstrate the efficacy of the model.",USA,06 October 2020,0,118,https://doi.org/10.1145/3384943.3409423
A Variable Bulk Arrival and Static Bulk Service Queueing Model for Blockchain,"Jongho Seol,Abhilash Kancharla,Zuqiang Ke,Hyeyoung Kim,Nohpill Park","Oklahoma State University, Stillwater, OK,Oklahoma State University, Stillwater, OK,Oklahoma State University, Stillwater, OK,Hongik University, Seoul,Oklahoma State University, Stillwater, OK","(Jongho Seol) FROM (Oklahoma State University, Stillwater, OK),(Abhilash Kancharla) FROM (Oklahoma State University, Stillwater, OK),(Zuqiang Ke) FROM (Oklahoma State University, Stillwater, OK),(Hyeyoung Kim) FROM (Hongik University, Seoul),(Nohpill Park) FROM (Oklahoma State University, Stillwater, OK)","This paper proposes a novel embedded Markovian queueing model of the M(1,n)/Mn/1 type in order to establish a theoretical foundation to design a blockchain-based system with specific interest in Ethereum. The model assumes variable bulk arrivals of transactions in Poisson distribution, i.e., M(1,n), where n the number of slots across all the mined transactions and static bulk service of transactions in exponential time, i.e., Mn, for posting in the current block, namely, VBASBP. The primary performance measurements to be taken are the average number of slots no matter how many transactions are mined under the assumption of the maximum number of slots per block as specified by n; the average waiting time per slot; and the throughput in terms of the average number of slots to be processed per time. The variable bulk arrival rate is assumed to vary linearly proportional to the size of the transactions in a multiple of per slot, and the static bulk service is assumed to take place when the number of slots in the mined transactions reaches at n, i.e., a bulk processing of multiple transactions in multiple slots for posting in a block. Numerical simulations are conducted on Matlab to demonstrate the efficacy of the model.",USA,06 October 2020,0,118,https://doi.org/10.1145/3384943.3409423
Government Data Sharing based on Blockchain,"Yu Liu,Junfang Zeng","Institute of Automation,Chinese Academy of Sciences,Institute of Automation,Chinese Academy of Sciences","(Yu Liu) FROM (Institute of Automation,Chinese Academy of Sciences),(Junfang Zeng) FROM (Institute of Automation,Chinese Academy of Sciences)","With the development of smart city, the cooperation between government sectors is becoming more and more frequent, breaking the information island and big data sharing has become an inevitable trend. The traditional way of government data sharing is mainly based on one unified data center, which has high construction cost and maintenance cost, and fails to fully consider the sectoral interests, authority, security and traceability, so there are still many barriers in government data sharing. Taking advantage of the features of blockchain technology, such as distributed ledger, smart contract, data trust and traceability, this paper proposes an application model of government data sharing based on blockchain, which uses a unified data sharing model and autonomous authority management to provide efficient and safe bus service for distributed government big data sharing.",China,20 July 2021,0,625,https://doi.org/10.1145/3460537.3460562
High-speed Railway Environmental Monitoring Data Identity Authentication Scheme Based on Consortium Blockchain,"Lihua Zhang,Yang Huang,Tengfei Jiang","East China Jiaotong University, Nanchang, Jiangxi,East China Jiaotong University, Nanchang, Jiangxi,China Railway Zhengzhou Group, Zhengzhou, Henan","(Lihua Zhang) FROM (East China Jiaotong University, Nanchang, Jiangxi),(Yang Huang) FROM (East China Jiaotong University, Nanchang, Jiangxi),(Tengfei Jiang) FROM (China Railway Zhengzhou Group, Zhengzhou, Henan)","The high-speed railway operating environment monitoring data is a direct reflection of the surrounding environment status of the railway. The safety of the monitoring data directly affects the safe and reliable transportation of the train. Based on the use of WSN in railways, this paper solves the problem of unauthentic between sensor nodes by utilizing the characteristics of decentralization, non-tampering and privacy protection of Blockchain, and proposes high-speed railway environmental monitoring data based on Consortium Blockchain, Identity authentication scheme. Using the Merkle root principle in the Blockchain data block structure, the identity information of the sensor-aware node is iteratively hashed to form the Merkle root of the identity information, and the data block is written and chained to ensure that the sensor identity information cannot be falsified and forged. The identity authentication of the sensor sensing node by the collecting base station is implemented.",China,20 March 2020,0,192,https://doi.org/10.1145/3376044.3376045
A Blockchain-based Flight Data Recorder for Cloud Accountability,"Gabriele D'Angelo,Stefano Ferretti,Moreno Marzolla","University of Bologna, Bologna,University of Bologna, Bologna,University of Bologna, Bologna","(Gabriele D'Angelo) FROM (University of Bologna, Bologna),(Stefano Ferretti) FROM (University of Bologna, Bologna),(Moreno Marzolla) FROM (University of Bologna, Bologna)","Many companies rely on Cloud infrastructures for their computation, communication and data storage requirements. While Cloud services provide some benefits, e.g., replacing high upfront costs for an IT infrastructure with a pay-as-you-go model, they also introduce serious concerns that are notoriously difficult to address. In essence, Cloud customers are storing data and running computations on infrastructures that they can not control directly. Therefore, when problems arise -- violations of Service Level Agreements, data corruption, data leakage, security breaches -- both customers and Cloud providers face the challenge of agreeing on which party is to be held responsible. In this paper, we review the challenges and requirements for enforcing accountability in Cloud infrastructures, and argue that smart contracts and blockchain technologies might provide a key contribution towards accountable Clouds.",Italy,15 June 2018,23,373,https://doi.org/10.1145/3211933.3211950
Open Peer-to-Peer Systems over Blockchain and IPFS: an Agent Oriented Framework,"Antonio Tenorio-Fornés,Samer Hassan,Juan Pavón","GRASIA, Universidad Complutense,GRASIA, Universidad Complutense, de Madrid,GRASIA, Universidad Complutense","(Antonio Tenorio-Fornés) FROM (GRASIA, Universidad Complutense),(Samer Hassan) FROM (GRASIA, Universidad Complutense, de Madrid),(Juan Pavón) FROM (GRASIA, Universidad Complutense)","In recent years, the increasing concerns around the centralized cloud web services (e.g. privacy, governance, surveillance, security) have triggered the emergence of new distributed technologies, such as IPFS or the Blockchain. These innovations have tackled technical challenges that were unresolved until their appearance. Existing models of peer-to-peer systems need a revision to cover the spectrum of potential systems that can be now implemented as peer-to-peer systems. This work presents a framework to build these systems. It uses an agent-oriented approach in an open environment where agents have only partial information of the system data. The proposal covers data access, data discovery and data trust in peer-to-peer systems where different actors may interact. Moreover, the framework proposes a distributed architecture for these open systems, and provides guidelines to decide in which cases Blockchain technology may be required, or when other technologies may be sufficient.",de Madrid,15 June 2018,13,"1,290",https://doi.org/10.1145/3211933.3211937
Open Peer-to-Peer Systems over Blockchain and IPFS: an Agent Oriented Framework,"Antonio Tenorio-Fornés,Samer Hassan,Juan Pavón","GRASIA, Universidad Complutense,GRASIA, Universidad Complutense, de Madrid,GRASIA, Universidad Complutense","(Antonio Tenorio-Fornés) FROM (GRASIA, Universidad Complutense),(Samer Hassan) FROM (GRASIA, Universidad Complutense, de Madrid),(Juan Pavón) FROM (GRASIA, Universidad Complutense)","In recent years, the increasing concerns around the centralized cloud web services (e.g. privacy, governance, surveillance, security) have triggered the emergence of new distributed technologies, such as IPFS or the Blockchain. These innovations have tackled technical challenges that were unresolved until their appearance. Existing models of peer-to-peer systems need a revision to cover the spectrum of potential systems that can be now implemented as peer-to-peer systems. This work presents a framework to build these systems. It uses an agent-oriented approach in an open environment where agents have only partial information of the system data. The proposal covers data access, data discovery and data trust in peer-to-peer systems where different actors may interact. Moreover, the framework proposes a distributed architecture for these open systems, and provides guidelines to decide in which cases Blockchain technology may be required, or when other technologies may be sufficient.",de Madrid,15 June 2018,13,"1,290",https://doi.org/10.1145/3211933.3211937
Economic Analysis of Loot Box Market in Blockchain Games,"Yu Jiang,Sizheng Fan,Wei Cai","The Chinese University of Hong Kong, Shenzhen & Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen,The Chinese University of Hong Kong, Shenzhen & Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen,The Chinese University of Hong Kong, Shenzhen & Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen","(Yu Jiang) FROM (The Chinese University of Hong Kong, Shenzhen & Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen),(Sizheng Fan) FROM (The Chinese University of Hong Kong, Shenzhen & Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen),(Wei Cai) FROM (The Chinese University of Hong Kong, Shenzhen & Shenzhen Institute of Artificial Intelligence and Robotics for Society, Shenzhen)","As an emerging blockchain technique, the blockchain-based loot box has received significant attention recently due to its promising characters in transparency and decentralization. Because all virtual assets are bound to the players' own address, which allows the players to control and manage everything, players can trade virtual items via the 2nd exChange Market (2CM) directly. To understand the players' optimal strategies and the game provider's optimal pricing, we conduct an economic analysis of both the game provider's and players' behaviors. In addition, gas fee, a unique factor in blockchain, is taken into consideration. Specifically, we model the interactions between the game provider and players as a two-stage Stackelberg game. In Stage I, we model the game provider's optimal pricing problem to maximize his utility using prospect theory (PT) due to the intrinsic demand uncertainty. In Stage II, the players choose the market which can maximize their utility to derive their preferred items. Moreover, our analysis and numerical results show that a game provider who considers the PT modeling should adopt a conservative pricing mechanism to increase his utility. Besides, the primary market is more susceptible to gas fees than the 2CM.",China,30 May 2022,0,84,https://doi.org/10.1145/3494106.3528675
Blockchain-based identity and authentication scheme for MQTT protocol,"Mwrwan Abdelrazig Abubakar,Zakwan Jaroucheh,Ahmed Yassin Al-Dubai,Xiaodong Liu","Edinburgh Napier University,Edinburgh Napier University,Edinburgh Napier University,Edinburgh Napier University","(Mwrwan Abdelrazig Abubakar) FROM (Edinburgh Napier University),(Zakwan Jaroucheh) FROM (Edinburgh Napier University),(Ahmed Yassin Al-Dubai) FROM (Edinburgh Napier University),(Xiaodong Liu) FROM (Edinburgh Napier University)","The publish and subscribe messaging model has proven itself as a dominant messaging paradigm for IoT systems. An example of such is the commonly used Message Queuing Telemetry Transport (MQTT) protocol. However, the security concerns with this protocol have presented vital security challenges in most IoT applications. For example, the MQTT protocol does not have secure authentication mechanisms implemented and leaves that task to the developer as all the included native security services are fragile. This paper will present a well-thought approach involving a lightweight authentication and authorization scheme together with a decentralized identity system to manage the users' identities. This mechanism helps in facilitating the authentication for both subscribers and publishers by utilizing a smart contract in Ethereum blockchain to guarantee trust, accountability and preserve user privacy. We provided a proof-of-concept implementation to prove our work, which involves a decentralized MQTT platform and dashboard using our approach. The usability of this approach was further analyzed, particularly concerning CPU and memory utilization. Our analysis proved that our approach satisfies IoT applications' requirements since it reduces the consumption of resources and that smart contracts help in the automation of data management processes.",UK,20 July 2021,0,177,https://doi.org/10.1145/3460537.3460549
"Secure, Decentralized, Privacy Preserving Machine Learning System Implementation over Blockchain","Adnesh Dhamangaonkar,Prajwal Adsul,Rohini Sarode,Sunil B Mane","College of Engineering Pune,College of Engineering Pune,College of Engineering Pune,College of Engineering Pune","(Adnesh Dhamangaonkar) FROM (College of Engineering Pune),(Prajwal Adsul) FROM (College of Engineering Pune),(Rohini Sarode) FROM (College of Engineering Pune),(Sunil B Mane) FROM (College of Engineering Pune)","The traditional approach to centralized machine learning has transparency concerns. The future of machine learning is decentralized machine learning. Thus, many technological advance companies including Microsoft are also investing in researching approaches to decentralization in machine learning. With the upliftment of big data technology, designing optimized artificial intelligence algorithms is a must need. At the base of every machine learning algorithm we need data. Data is something that can be any unprocessed fact, value, text, sound or picture that is not being interpreted and analyzed. This data is not generated by just one party, multiple parties generate such data. The data will be geographically distributed amongst organizations. This pushes the need and research of distributed machine learning algorithms. In the current scenario, there is a central server which will run the machine learning algorithm and produce results, in this system obviously we need to collect all the data at that server itself. If the server is attacked then there is a problem of security of data. Also many organizations would not like to just lend their data to some third party. To address all such issues, we study all the possible ways for implementing a distributed machine learning system and propose a blockchain based distributed conservative system. Mainly, we design a Stochastic Gradient Descent (SGD) algorithm to learn a general predictive model over the trending blockchain technology, also taking care of Byzantine attack, using the within-N algorithm. Also analysis will be made on different machine learning algorithms and datasets as a part of testing, demonstrating the effectiveness of the model.",India,02 October 2021,0,121,https://doi.org/10.1145/3475992.3476003
"Blockchain Hash, the Missing Axis of the Accounts to Settle the Triple Entry Bookkeeping System","Alessio Faccia,Narcisa Roxana Moşteanu,Luigi Pio Leonardo","Coventry University, Coventry,American University of Malta, Triq Dom Mintoff, Bormla,Cavaliere Università di Foggia, Via Romolo Caggese, Foggia FG","(Alessio Faccia) FROM (Coventry University, Coventry),(Narcisa Roxana Moşteanu) FROM (American University of Malta, Triq Dom Mintoff, Bormla),(Luigi Pio Leonardo) FROM (Cavaliere Università di Foggia, Via Romolo Caggese, Foggia FG)","The bookkeeping accounting method recognized all over the world is based on the so-called double entry, with which in each account (defined T-Account for its shape) there are two sections, Debit and Credit. These two sections take on different meanings depending on the nature of each account. The double entry is an exceptional consolidated accounting method that dates back to the fifteenth century, however it has highlighted limits in terms of auditing. The single entry did not take into account the cross relations between the accounts, reporting only on the journal. The double entry has overcome this limit by introducing the ledger, but a cross-check of the mirrored transactions recorded by the other companies is still missing. The introduction of blockchain technology could now offer a new opportunity to ensure further auditing control. The transition from double entry to triple entry is therefore only a matter of time. The blockchain itself is borrowing the word ""ledger"" from accounting and now it is time for accounting to introduce a third leg (another axis) to the T-Accounts, that can be turned into a new X-shaped version of accounts. This third axis can be used to include the unique identifier of each transaction represented by the Hash.",Italy,02 December 2020,2,127,https://doi.org/10.1145/3430279.3430283
"Blockchain Hash, the Missing Axis of the Accounts to Settle the Triple Entry Bookkeeping System","Alessio Faccia,Narcisa Roxana Moşteanu,Luigi Pio Leonardo","Coventry University, Coventry,American University of Malta, Triq Dom Mintoff, Bormla,Cavaliere Università di Foggia, Via Romolo Caggese, Foggia FG","(Alessio Faccia) FROM (Coventry University, Coventry),(Narcisa Roxana Moşteanu) FROM (American University of Malta, Triq Dom Mintoff, Bormla),(Luigi Pio Leonardo) FROM (Cavaliere Università di Foggia, Via Romolo Caggese, Foggia FG)","The bookkeeping accounting method recognized all over the world is based on the so-called double entry, with which in each account (defined T-Account for its shape) there are two sections, Debit and Credit. These two sections take on different meanings depending on the nature of each account. The double entry is an exceptional consolidated accounting method that dates back to the fifteenth century, however it has highlighted limits in terms of auditing. The single entry did not take into account the cross relations between the accounts, reporting only on the journal. The double entry has overcome this limit by introducing the ledger, but a cross-check of the mirrored transactions recorded by the other companies is still missing. The introduction of blockchain technology could now offer a new opportunity to ensure further auditing control. The transition from double entry to triple entry is therefore only a matter of time. The blockchain itself is borrowing the word ""ledger"" from accounting and now it is time for accounting to introduce a third leg (another axis) to the T-Accounts, that can be turned into a new X-shaped version of accounts. This third axis can be used to include the unique identifier of each transaction represented by the Hash.",Italy,02 December 2020,2,127,https://doi.org/10.1145/3430279.3430283
"Blockchain Hash, the Missing Axis of the Accounts to Settle the Triple Entry Bookkeeping System","Alessio Faccia,Narcisa Roxana Moşteanu,Luigi Pio Leonardo","Coventry University, Coventry,American University of Malta, Triq Dom Mintoff, Bormla,Cavaliere Università di Foggia, Via Romolo Caggese, Foggia FG","(Alessio Faccia) FROM (Coventry University, Coventry),(Narcisa Roxana Moşteanu) FROM (American University of Malta, Triq Dom Mintoff, Bormla),(Luigi Pio Leonardo) FROM (Cavaliere Università di Foggia, Via Romolo Caggese, Foggia FG)","The bookkeeping accounting method recognized all over the world is based on the so-called double entry, with which in each account (defined T-Account for its shape) there are two sections, Debit and Credit. These two sections take on different meanings depending on the nature of each account. The double entry is an exceptional consolidated accounting method that dates back to the fifteenth century, however it has highlighted limits in terms of auditing. The single entry did not take into account the cross relations between the accounts, reporting only on the journal. The double entry has overcome this limit by introducing the ledger, but a cross-check of the mirrored transactions recorded by the other companies is still missing. The introduction of blockchain technology could now offer a new opportunity to ensure further auditing control. The transition from double entry to triple entry is therefore only a matter of time. The blockchain itself is borrowing the word ""ledger"" from accounting and now it is time for accounting to introduce a third leg (another axis) to the T-Accounts, that can be turned into a new X-shaped version of accounts. This third axis can be used to include the unique identifier of each transaction represented by the Hash.",Italy,02 December 2020,2,127,https://doi.org/10.1145/3430279.3430283
"Resilient, crowd-sourced LPWAN infrastructure using blockchain","Arnaud Durand,Pascal A Gremaud,Jacques Pasquier","University of Fribourg, Fribourg,University of Fribourg, Fribourg,University of Fribourg, Fribourg","(Arnaud Durand) FROM (University of Fribourg, Fribourg),(Pascal A Gremaud) FROM (University of Fribourg, Fribourg),(Jacques Pasquier) FROM (University of Fribourg, Fribourg)","Low power communication is a major milestone for the Internet of Things (IoT). Low-Power Wide-Area Network (LPWAN) technologies seek to provide a large coverage area and long battery life at the cost of a reduced bandwidth compared to traditional networks. Commercially-available LPWAN solutions typically involve the usage of a wireless infrastructure from a network provider; with the notable exception of crowd-sourced networks, which use gateways from other users for wireless communication to end-devices. In this paper, we analyse the feasability of a fully decentralized LPWAN infrastructure and build a working prototype based on the LoRaWAN protocol.",Switzerland,15 June 2018,12,297,https://doi.org/10.1145/3211933.3211938
PDV: Permissioned Blockchain based Personal Data Vault using Predictive Prefetching,"Neha Mishra,Haim Levkowitz","University of Massachusetts Lowell,University of Massachusetts Lowell","(Neha Mishra) FROM (University of Massachusetts Lowell),(Haim Levkowitz) FROM (University of Massachusetts Lowell)","We predict that in the not-so-distant future, most if not all documents will no longer be available in paper format. We envision a world in which one can store the entirety of their digital documents not unlike a filing cabinet storing paper documents but with the additional security, safety, and integrity. The vision is encapsulated in our Personal Data Vault (PDV). The PDV is a framework for storing, saving, protecting, and sharing a person’s life-time digital documents in a verifiable secure manner that can ascertain a document’s authenticity and integrity and afford its owner to share it securely. In PDV, each document is encrypted, compressed, and securely stored in the cloud, and indexes are entered in disturbed ledger of a Permissioned Blockchain (Hyperledger Iroha), which significantly prevents data leakage, and the ledger is immutable and tamper-proof to maintain integrity. All access rights are written in the form of an access-list in Smart Contracts, which are later used for verification. We used the concept of predictive prefetching in combination with the Markov tree to design a model that successfully predicts the next (or sequence of next) requests that may occur and pre-executes (execute before the request has occurred)",USA,02 October 2021,0,69,https://doi.org/10.1145/3475992.3476001
Blockchain Enlightenment and Smart City Cryptopolis,Melanie Swan,"Philosophy Department, West Lafayette, IN","(Melanie Swan) FROM (Philosophy Department, West Lafayette, IN)","This paper articulates the notion of the cryptocitizen who thinks freely of the traditional dictates of authority. The analysis looks beyond the immediate economic benefits and risks of blockchain technology to consider the broader implications for the individual and society. The possibility of creating and participating in different and multiple self-determined political and economic systems could mobilize how we instantiate ourselves as individuals and societies. Blockchain technology invites the possibility of making a social world with greater prominence of the values we apparently care about: freedom, trust, and dignity. There is a need for social structures that ensure and promote coexistence among diverse individuals and groups, particularly looking ahead to the possibilities of machine intelligence and space settlement. The hidden novelty and benefit of blockchain technology is serving as a tool for the design of smart city cryptopolises and cryptocitizen social structures. The bigger stakes of blockchain technology are the possibility of having new modes of social organization.",USA,15 June 2018,5,468,https://doi.org/10.1145/3211933.3211942
A Master-Slave Chain Model for Multiple Blockchains,"Xinsen Hu,Kai Hu,Siyuan Wang,Qinwei Tong","Beihang University,Beihang University,Beihang University,Beihang University","(Xinsen Hu) FROM (Beihang University),(Kai Hu) FROM (Beihang University),(Siyuan Wang) FROM (Beihang University),(Qinwei Tong) FROM (Beihang University)","In recent years, blockchain has attracted great attention because of decentralization, tamper resistance and traceability. However, a single blockchain is less able to handle a large number of transactions. Besides, interoperability among different blockchains remains a continuing challenge. In this paper, we propose a master-slave chain model (MSCM) for multiple blockchains, which provides flexibility and scalability for the blockchain system. In the model, atomic cross-blockchain transactions are enabled by the proposed cross-blockchain protocol. We also introduce a blockchain router algorithm to optimize the communications among different blockchains. The experimental results support the usefulness of MSCM as a means of performance improvement.",China,21 March 2021,0,98,https://doi.org/10.1145/3446983.3446988
Blockchain Ethics Research: A Conceptual Model,"Yong Tang,Jason Jie Xiong,Rafael Becerril-Arreola,Lakshmi S Iyer","University of Electronic Science and Technology of China, Chengdu,Appalachian State University, Boone, NC,University of South Carolina, Columbia, SC,Appalachian State University, Boone, NC","(Yong Tang) FROM (University of Electronic Science and Technology of China, Chengdu),(Jason Jie Xiong) FROM (Appalachian State University, Boone, NC),(Rafael Becerril-Arreola) FROM (University of South Carolina, Columbia, SC),(Lakshmi S Iyer) FROM (Appalachian State University, Boone, NC)","Blockchain is being widely adopted far beyond finance into numerous domains of society and promises unprecedented potential to disrupt organizations, businesses, industries, and economies. However, blockchain is still in its infancy and its future is highly controversial, arousing phenomenal enthusiasm, high expectations, and even intense criticism. The possible impacts of blockchain and its applications on the society could be fundamental and revolutionary, inevitably bringing unpredicted ethical challenges in the foreseeable future. Identifying the ethical challenges of blockchain is urgent and critically needed to ensure that blockchain is adopted ethically. However, discussions on the ethics of blockchain are largely insufficient, which leaves a void of theoretical understanding so far. In this paper, we provide a systematic discussion on the ethics of blockchain applications and map the main social challenges raised by its technology and applications. The paper starts with a review of the technological concepts and applications of blockchain. Then, it overviews the current research on the ethics of technologies and general research on blockchain to briefly introduce the authors' approach. Afterwards, a conceptual model of blockchain ethics research is developed. This research hopes to serve as an initial roadmap for the study of blockchain ethics, and to raise timely awareness and stimulate further debate on the ethics of blockchain in the IS community.",USA,12 June 2019,7,"1,138",https://doi.org/10.1145/3322385.3322397
Blockchain Ethics Research: A Conceptual Model,"Yong Tang,Jason Jie Xiong,Rafael Becerril-Arreola,Lakshmi S Iyer","University of Electronic Science and Technology of China, Chengdu,Appalachian State University, Boone, NC,University of South Carolina, Columbia, SC,Appalachian State University, Boone, NC","(Yong Tang) FROM (University of Electronic Science and Technology of China, Chengdu),(Jason Jie Xiong) FROM (Appalachian State University, Boone, NC),(Rafael Becerril-Arreola) FROM (University of South Carolina, Columbia, SC),(Lakshmi S Iyer) FROM (Appalachian State University, Boone, NC)","Blockchain is being widely adopted far beyond finance into numerous domains of society and promises unprecedented potential to disrupt organizations, businesses, industries, and economies. However, blockchain is still in its infancy and its future is highly controversial, arousing phenomenal enthusiasm, high expectations, and even intense criticism. The possible impacts of blockchain and its applications on the society could be fundamental and revolutionary, inevitably bringing unpredicted ethical challenges in the foreseeable future. Identifying the ethical challenges of blockchain is urgent and critically needed to ensure that blockchain is adopted ethically. However, discussions on the ethics of blockchain are largely insufficient, which leaves a void of theoretical understanding so far. In this paper, we provide a systematic discussion on the ethics of blockchain applications and map the main social challenges raised by its technology and applications. The paper starts with a review of the technological concepts and applications of blockchain. Then, it overviews the current research on the ethics of technologies and general research on blockchain to briefly introduce the authors' approach. Afterwards, a conceptual model of blockchain ethics research is developed. This research hopes to serve as an initial roadmap for the study of blockchain ethics, and to raise timely awareness and stimulate further debate on the ethics of blockchain in the IS community.",USA,12 June 2019,7,"1,138",https://doi.org/10.1145/3322385.3322397
Data Privacy Based on IoT Device Behavior Control Using Blockchain,"Faiza Loukil,Chirine Ghedira Guegan,Khouloud Boukadi,Aïcha Nabila Benharkat,Elhadj Benkhelifa","University of Lyon, University Jean Moulin Lyon 3, CNRS, LIRIS,University of Lyon, iaelyon school of Management, University Jean Moulin Lyon 3, CNRS, LIRIS,Mir@cl Laboratory, Sfax University,University of Lyon, INSALyon, CNRS, LIRIS,Staffordshire University, Stoke on Trent","(Faiza Loukil) FROM (University of Lyon, University Jean Moulin Lyon 3, CNRS, LIRIS),(Chirine Ghedira Guegan) FROM (University of Lyon, iaelyon school of Management, University Jean Moulin Lyon 3, CNRS, LIRIS),(Khouloud Boukadi) FROM (Mir@cl Laboratory, Sfax University),(Aïcha Nabila Benharkat) FROM (University of Lyon, INSALyon, CNRS, LIRIS),(Elhadj Benkhelifa) FROM (Staffordshire University, Stoke on Trent)","The Internet of Things (IoT) is expected to improve the individuals’ quality of life. However, ensuring security and privacy in the IoT context is a non-trivial task due to the low capability of these connected devices. Generally, the IoT device management is based on a centralized entity that validates communication and connection rights. Therefore, this centralized entity can be considered as a single point of failure. Yet, in the case of distributed approaches, it is difficult to delegate the right validation to IoT devices themselves in untrustworthy IoT environments. Fortunately, the blockchain may provide decentralization of overcoming the trust problem while designing a privacy-preserving system. To this end, we propose a novel privacy-preserving IoT device management framework based on the blockchain technology. In the proposed system, the IoT devices are controlled by several smart contracts that validate the connection rights according to the privacy permission settings predefined by the data owners and the stored record array of detected misbehavior of each IoT device. In fact, smart contracts can immediately detect the devices that have vulnerabilities and have been hacked or pose a threat to the IoT network. Therefore, the data owner’s privacy is preserved by enforcing the control over the own devices. For validation purposes, we deploy the proposed solution on a private Ethereum blockchain and give the performance evaluation.",UK,05 January 2021,11,613,https://doi.org/10.1145/3434776
